m/z	intensity	relative	noise
116.42264216216215	4.625	0.005	1.275944094909073
116.42319999999998	2.2	0.0025	0.7707463914933368
116.42406918429	8.275	0.005	1.9364348685148178
116.42494756756757	4.625	0.005	1.2182090679901105
116.42525	4.4	0.005	1.2817175976009691
116.42575621301776	4.225	0.0025	1.2182090679901105
116.4267	2.075	0.0025	0.7636753236814713
116.42745846153845	3.25	0.0	1.2817175976009691
116.42779999999999	2.325	0.0025	0.7283199846221439
116.42809999999999	2.6	0.0025	0.7636753236814713
116.4294	0.95	0.0	0.7707463914933368
116.42972694063928	5.475	0.0025	1.62
116.4304	2.075	0.0025	0.7636753236814713
116.43070000000002	0.55	0.0	0.7707463914933368
116.43139402985075	3.3499999999999996	0.0025	1.2182090679901105
116.4322	1.8	0.0025	0.7283199846221439
116.4325	2.55	0.0	1.275944094909073
116.4335645390071	3.525	0.0	1.62
116.4344	1.525	0.0	0.7636753236814713
116.4347	0.575	0.0	0.7990306627407986
116.43679999999999	0.625	0.0	0.7283199846221439
116.4374	0.925	0.0	0.7636753236814713
116.43860000000001	0.7	0.0	0.7636753236814713
117.01840000000001	136.5	0.0925	1.81121506177483
117.04490000000001	612.5749999999999	0.40249999999999997	1.80674292581983
117.05475000000001	1.25	0.0	1.1373800303035628
118.0289	37.575	0.0225	1.5965525359348498
118.0401330845771	20.1	0.015	1.5965525359348498
118.04825	2.7	0.0	1.33
118.0501	2.175	0.0	1.0045894683899488
119.03284157014157	19.424999999999997	0.0125	1.3729457381848706
119.03410000000002	103.75	0.07	1.3729457381848706
119.03539999999998	7.675000000000001	0.005	1.3729457381848709
119.049296	11.25	0.0075	1.3729457381848706
119.99378155555557	11.25	0.0075	1.1716996202098897
120.00814923512748	44.125	0.027499999999999997	1.1672274842548902
120.0445	20.875	0.0125	1.1582832123448912
121.01596213592232	2.575	0.0	0.8049999999999999
121.02859999999998	495.0	0.32999999999999996	0.9436206865049114
122.00029999999998	34.375	0.0225	0.8944271909999159
122.02238615384614	3.25	0.0	0.75
122.0238	9314.8	6.1275	0.8944271909999159
122.02556310679611	2.575	0.0	0.75
122.03175333333336	1.125	0.0	0.5773502691896258
122.03200000000001	0.55	0.0	0.35355339059327373
122.03637624999999	2.0	0.0	0.8944271909999159
122.9843	61.875	0.045	0.8944271909999159
123.00634827586205	0.725	0.0	0.5773502691896258
123.00780000000002	2720.95	1.8225	0.8944271909999159
123.0208	0.275	0.0	0.35355339059327373
123.02715976748281	283.85	0.1875	0.8944271909999159
123.0316	372.0	0.25	0.8944271909999159
123.0442	430.975	0.29	0.8944271909999159
124.00640655509065	17.925	0.01	0.8944271909999159
124.0112	40.775	0.027500000000000004	0.8944271909999159
